;Time(ms);Axle_Torque_Feedback(N.m);;Time(ms);Speed_Feedback(m/s)
1760710769;18215,82007;0;;7060,28986;0,108420312
1760710769;18244,1802;0;;7069,53001;0,118276708
1760710769;18264,20999;0;;7079,629898;0,118276708
1760710769;18285,13002;0;;7089,720011;0,118276708
1760710769;18304,19016;0;;7099,720001;0,118276708
1760710769;18323,95005;0;;7109,779835;0,118276708
1760710769;18343,81008;0;;7119,829893;0,118276708
1760710769;18375,19002;0;;7129,989862;0,108420581
1760710769;18404,34003;0;;7140,549898;0,108420581
1760710769;18434,25012;0;;7149,969816;0,128133416
1760710769;18463,99021;0;;7159,989834;0,128133416
1760710770;18494,12012;0;;7170,039892;0,128133416
1760710770;18525,11001;0;;7180,079937;0,128133416
1760710770;18553,76005;0;;7190,189838;0,137989834
1760710770;18573,56;0;;7199,529886;0,137989834
1760710770;18593,20021;0;;7209,679842;0,137989834
1760710770;18614,16006;0;;7219,759941;0,15770267
1760710770;18643,77999;0;;7229,799986;0,15770267
1760710770;18673,75016;0;;7239,820004;0,15770267
1760710770;18703,78017;0;;7249,819994;0,15770267
1760710770;18733,30021;0;;7259,889841;0,15770267
1760710770;18763,19003;0;;7269,899845;0,15770267
1760710770;18793,40005;0;;7280,009985;0,167559087
1760710770;18822,87002;0;;7289,999962;0,177415505
1760710770;18853,51014;0;;7300,149918;0,177415505
1760710770;18885,38003;0;;7310,089827;0,187271908
1760710770;18902,39;0;;7319,550037;0,187271908
1760710770;18923,39015;0;;7329,68998;0,187271908
1760710770;18943,17007;0;;7339,859962;0,197128341
1760710770;18972,68009;0;;7349,949837;0,197128341
1760710770;18991,91999;0;;7359,84993;0,197128341
1760710770;19012,71009;0;;7369,799852;0,197128341
1760710770;19032,3801;0;;7379,959822;0,197128341
1760710770;19062,33001;0;;7389,909983;0,216841161
1760710770;19092,63015;0;;7399,960041;0,216841161
1760710770;19123,3902;0;;7409,940004;0,216841161
1760710770;19152,54998;0;;7420,019865;0,216841161
1760710770;19183,74014;0;;7430,199862;0,216841161
1760710770;19212,30006;0;;7440,269947;0,216841161
1760710770;19241,96005;0;;7449,94998;0,236553997
1760710770;19260,66017;0;;7459,72991;0,236553997
1760710770;19281,46005;0;;7469,799995;0,236553997
1760710770;19301,50008;0;;7479,809999;0,236553997
1760710770;19321,66004;0;;7489,830017;0,246410415
1760710770;19344,72013;0;;7499,85981;0,246410415
1760710770;19361,70006;0;;7509,909868;0,266123265
1760710770;19380,81002;0;;7519,909859;0,266123265
1760710770;19402,07005;0;;7529,989958;0,266123265
1760710770;19435,60004;0;;7540,060043;0,266123265
1760710770;19462,76999;0;;7550,169945;0,266123265
1760710771;19492,19012;0;;7560,199976;0,266123265
1760710771;19526,03006;0;;7569,559813;0,266123265
1760710771;19551,60999;0;;7579,619884;0,285836071
1760710771;19571,54012;0;;7589,730024;0,285836071
1760710771;19589,84017;0;;7599,750042;0,285836071
1760710771;19611,67002;0;;7609,769821;0,285836071
1760710771;19641,35003;0;;7619,910002;0,285836071
1760710771;19671,9501;0;;7629,930019;0,285836071
1760710771;19701,73001;0;;7639,979839;0,305548906
